,uniqueTime
246,13:20:00
247,13:21:00
248,13:22:00
249,13:23:00
250,13:24:00
251,13:25:00
252,13:26:00
253,13:27:00
254,13:28:00
255,13:29:00
256,13:30:00
257,13:31:00
258,13:32:00
259,13:33:00
260,13:34:00
261,13:35:00
262,13:36:00
263,13:37:00
264,13:38:00
265,13:39:00
266,13:40:00
267,13:41:00
268,13:42:00
269,13:43:00
270,13:44:00
271,13:45:00
272,13:46:00
273,13:47:00
274,13:48:00
275,13:49:00
276,13:50:00
277,13:51:00
278,13:52:00
279,13:53:00
280,13:54:00
281,13:55:00
282,13:56:00
283,13:57:00
284,13:58:00
285,13:59:00
286,14:00:00
287,14:01:00
288,14:02:00
289,14:03:00
290,14:04:00
291,14:05:00
292,14:06:00
293,14:07:00
294,14:08:00
295,14:09:00
296,14:10:00
297,14:11:00
298,14:12:00
299,14:13:00
300,14:14:00
301,14:15:00
302,14:16:00
303,14:17:00
304,14:18:00
305,14:19:00
306,14:20:00
307,14:21:00
308,14:22:00
309,14:23:00
310,14:24:00
311,14:25:00
312,14:26:00
313,14:27:00
314,14:28:00
315,14:29:00
316,14:30:00
317,14:31:00
318,14:32:00
319,14:33:00
320,14:34:00
321,14:35:00
322,14:36:00
323,14:37:00
324,14:38:00
325,14:39:00
326,14:40:00
327,14:41:00
328,14:42:00
329,14:43:00
330,14:44:00
331,14:45:00
332,14:46:00
333,14:47:00
334,14:48:00
335,14:49:00
336,14:50:00
337,14:51:00
338,14:52:00
339,14:53:00
340,14:54:00
341,14:55:00
342,14:56:00
343,14:57:00
344,14:58:00
345,14:59:00
346,15:00:00
347,15:01:00
348,15:02:00
349,15:03:00
350,15:04:00
351,15:05:00
352,15:06:00
353,15:07:00
354,15:08:00
355,15:09:00
356,15:10:00
357,15:11:00
358,15:12:00
359,15:13:00
360,15:14:00
361,15:15:00
362,15:16:00
363,15:17:00
364,15:18:00
365,15:19:00
366,15:20:00
367,15:21:00
368,15:22:00
369,15:23:00
370,15:24:00
371,15:25:00
372,15:26:00
373,15:27:00
374,15:28:00
375,15:29:00
376,15:30:00
377,15:40:00
378,15:42:00
